model,curve_type,x_value,y_value,threshold
Logistic Regression,ROC,0.012645140766661365,0.45722300140252453,0.6768661817445486
Logistic Regression,ROC,0.012645140766661365,0.4586255259467041,0.6747124925134158
Logistic Regression,ROC,0.012804199141084778,0.4586255259467041,0.6743671346459023
Logistic Regression,ROC,0.012804199141084778,0.46213183730715285,0.6708869048608492
Logistic Regression,ROC,0.013122315889931605,0.46213183730715285,0.6704818632852569
Logistic Regression,ROC,0.013122315889931605,0.4635343618513324,0.6701621952322652
Logistic Regression,ROC,0.013360903451566725,0.4635343618513324,0.6687151645986655
Logistic Regression,ROC,0.013360903451566725,0.4649368863955119,0.6675728422820698
Logistic Regression,ROC,0.013440432638778432,0.4649368863955119,0.6674725499102806
Logistic Regression,ROC,0.013440432638778432,0.46633941093969145,0.6661655023551936
Logistic Regression,ROC,0.013519961825990138,0.46633941093969145,0.6661309659950073
Logistic Regression,ROC,0.013519961825990138,0.47124824684431976,0.6585289209090435
Logistic Regression,ROC,0.013599491013201846,0.47124824684431976,0.658309330669372
Logistic Regression,ROC,0.013599491013201846,0.4726507713884993,0.6573262429804235
Logistic Regression,ROC,0.013679020200413552,0.4726507713884993,0.6570039987850115
Logistic Regression,ROC,0.013679020200413552,0.4740532959326788,0.6561167766372381
Logistic Regression,ROC,0.013838078574836965,0.4740532959326788,0.6558955141110356
Logistic Regression,ROC,0.013838078574836965,0.47545582047685836,0.6552366530642468
Logistic Regression,ROC,0.013997136949260379,0.47545582047685836,0.6546572440285522
Logistic Regression,ROC,0.013997136949260379,0.4761570827489481,0.6545579059034407
Logistic Regression,ROC,0.014076666136472085,0.4761570827489481,0.6539748369968359
Logistic Regression,ROC,0.014076666136472085,0.48176718092566617,0.6516993701941407
Logistic Regression,ROC,0.014156195323683791,0.48176718092566617,0.6516506163805745
Logistic Regression,ROC,0.014156195323683791,0.4831697054698457,0.6512309805218803
Logistic Regression,ROC,0.0142357245108955,0.4831697054698457,0.6509276990021
Logistic Regression,ROC,0.0142357245108955,0.4887798036465638,0.6456370508606993
Logistic Regression,ROC,0.014394782885318912,0.4887798036465638,0.6417603933966817
Logistic Regression,ROC,0.014394782885318912,0.49158485273492286,0.6394178249151733
Logistic Regression,ROC,0.014474312072530618,0.49158485273492286,0.6390636636509303
Logistic Regression,ROC,0.014474312072530618,0.4943899018232819,0.6340559730026879
Logistic Regression,ROC,0.014553841259742326,0.4943899018232819,0.634048237374668
Logistic Regression,ROC,0.014553841259742326,0.4950911640953717,0.6321532130114821
Logistic Regression,ROC,0.014633370446954033,0.4950911640953717,0.6318179183259264
Logistic Regression,ROC,0.014633370446954033,0.49719495091164095,0.6313134799780327
Logistic Regression,ROC,0.014712899634165739,0.49719495091164095,0.630897149855899
Logistic Regression,ROC,0.014712899634165739,0.49859747545582045,0.6295720085029924
Logistic Regression,ROC,0.014792428821377445,0.49859747545582045,0.6259007269870779
Logistic Regression,ROC,0.014792428821377445,0.4992987377279102,0.6255872550224235
Logistic Regression,ROC,0.015349133131859392,0.4992987377279102,0.6223961229209031
Logistic Regression,ROC,0.015349133131859392,0.5,0.6221924928154712
Logistic Regression,ROC,0.015428662319071099,0.5,0.6219905608559192
Logistic Regression,ROC,0.015428662319071099,0.5007012622720898,0.621262800373042
Logistic Regression,ROC,0.015508191506282807,0.5007012622720898,0.6194842168369117
Logistic Regression,ROC,0.015508191506282807,0.5014025245441796,0.6184050680178741
Logistic Regression,ROC,0.015587720693494513,0.5014025245441796,0.6159226749284413
Logistic Regression,ROC,0.015587720693494513,0.5056100981767181,0.6133041795114821
Logistic Regression,ROC,0.01566724988070622,0.5056100981767181,0.6124825273907982
Logistic Regression,ROC,0.01566724988070622,0.5070126227208976,0.6111002904795303
Logistic Regression,ROC,0.015746779067917927,0.5070126227208976,0.6098282376246947
Logistic Regression,ROC,0.015746779067917927,0.5105189340813464,0.604966080039368
Logistic Regression,ROC,0.01590583744234134,0.5105189340813464,0.6036719295464976
Logistic Regression,ROC,0.01590583744234134,0.5154277699859747,0.6018516843909207
Logistic Regression,ROC,0.015985366629553046,0.5154277699859747,0.6015638545271442
Logistic Regression,ROC,0.015985366629553046,0.517531556802244,0.5987083842422902
Logistic Regression,ROC,0.016223954191188165,0.517531556802244,0.5972208380250246
Logistic Regression,ROC,0.016223954191188165,0.5182328190743338,0.5969183097717417
