feature,mean_cv_auc,cv_auc_std,stable_folds,stability_rate
last_day_rch_amt_8,0.7582586202898407,0.005350403682112397,5,1.0
total_ic_mou_change_6_to_8,0.6878363758437687,0.009294723910959134,5,1.0
arpu_change_7_to_8,0.6667855920253581,0.0064329437318242635,5,1.0
loc_ic_mou_7,0.6727802463045756,0.008836059271229907,5,1.0
recharge_amount_min_6_8,0.7605292699191277,0.005497238368482438,5,1.0
loc_ic_t2m_mou_7,0.6682841316156752,0.00995262121973649,5,1.0
recharge_num_pct_change_6_to_8,0.704173534614619,0.004994609559857068,5,1.0
std_ic_mou_change_7_to_8,0.5674802410117493,0.009033329581760044,5,1.0
total_activity_trend_score,0.6779261019404512,0.006002565227322756,5,1.0
recharge_count_recent_vs_baseline_pct,0.718216045628389,0.004342956523593214,5,1.0
loc_ic_mou_min_6_8,0.7285550158255589,0.006095490593282993,5,1.0
total_ic_mou_7,0.7411151532030819,0.007479170659458953,5,1.0
arpu_recent_vs_baseline,0.7425556009535531,0.009382745503426996,5,1.0
std_ic_mou_change_6_to_8,0.5828870778261515,0.011118257018897371,5,1.0
recharge_amt_change_7_to_8,0.6553726168082307,0.00578519966251489,5,1.0
total_voice_mou_7,0.6874825363636731,0.006381480525735807,5,1.0
loc_og_t2m_mou_7,0.6449608144826195,0.006222253484476064,5,1.0
loc_og_mou_7,0.6486269725871596,0.006364176322494553,5,1.0
arpu_change_6_to_8,0.7252774275227468,0.009125355040663917,5,1.0
loc_ic_mou_std_6_8,0.6257197804784376,0.007682143975035385,5,1.0
total_activity_7,0.688918066369821,0.007156199809965305,5,1.0
recharge_amt_change_6_to_8,0.7201779284582744,0.008897637961387145,5,1.0
loc_ic_t2t_mou_7,0.6418907185000572,0.010299308706174218,5,1.0
std_og_mou_change_6_to_8,0.6009792431246603,0.007275963044198245,5,1.0
std_og_mou_change_7_to_8,0.5946218355045936,0.006987325910297854,5,1.0
voice_inactive_7,0.6533676105395595,0.0033779618128199056,5,1.0
loc_ic_t2f_mou_7,0.631505894285751,0.001782583807467709,5,1.0
total_rech_num_8,0.7337783121167823,0.006571875297759368,5,1.0
arpu_trend_score,0.669839000893391,0.008271630782707345,5,1.0
recharge_amount_recent_vs_baseline,0.7297480389815261,0.008808417285911469,5,1.0
std_ic_mou_pct_change_7_to_8,0.5896440533633334,0.011222123908217018,5,1.0
std_ic_mou_pct_change_6_to_8,0.6044846245167195,0.008373029371753596,5,1.0
loc_ic_mou_max_6_8,0.6778494116081103,0.00843307365020155,5,1.0
loc_og_t2t_mou_7,0.6272978351312165,0.00543367200149719,5,1.0
recharge_amount_trend_score,0.6857240604800003,0.006377780254380884,5,1.0
loc_og_mou_std_6_8,0.6200055996796372,0.0037472658120974965,5,1.0
loc_og_mou_min_6_8,0.6904812439904039,0.003745955082475507,5,1.0
total_og_mou_7,0.6548304009530159,0.007187671289377481,5,1.0
recharge_count_min_6_8,0.7099349485726905,0.006852350574206144,5,1.0
total_ic_mou_max_6_8,0.6826581391846259,0.008605343293585714,5,1.0
onnet_mou_7,0.5271461887218918,0.008321150961052126,0,0.0
